,City,Latitude,Longitude,Max Temperature (°C),Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,27.89,75,7,6.83,KI,1643979875
1,karratha,-20.7377,116.8463,29.69,69,86,4.62,AU,1643979658
2,bambous virieux,-20.2567,57.4061,26.74,77,100,7.65,MU,1643979875
3,mahebourg,-20.4081,57.7,27.36,81,100,7.15,MU,1643979876
4,hasaki,35.7333,140.8333,0.22,93,100,4.99,JP,1643979876
5,saint-philippe,-21.3585,55.7679,27.77,89,100,12.02,RE,1643979876
6,barbosa ferraz,5.9317,-73.6151,18.7,81,89,0.15,CO,1643979877
7,hilo,19.7297,-155.09,19.79,74,0,3.6,US,1643979877
8,ponta do sol,38.7333,-28.2667,13.38,82,91,7.96,PT,1643979877
9,port alfred,-7.0349,29.7638,23.63,79,100,3.02,CD,1643979878
10,rikitea,-23.1203,-134.9692,25.33,74,100,4.51,PF,1643979878
11,aksu,41.1231,80.2644,-1.45,45,9,2.28,CN,1643979879
12,pangkalanbuun,-2.6833,111.6167,24.31,90,90,0.88,ID,1643979822
13,hithadhoo,-0.6,73.0833,27.98,72,34,4.7,MV,1643979879
14,atuona,-9.8,-139.0333,25.56,76,31,7.84,PF,1643979879
15,avera,33.194,-82.5271,17.06,89,100,6.55,US,1643979880
16,ushuaia,-54.8,-68.3,7.79,53,20,4.63,AR,1643979880
17,ilulissat,69.2167,-51.1,-11.99,67,75,3.6,GL,1643979880
18,kilindoni,-7.9139,39.6668,28.45,74,100,7.0,TZ,1643979881
19,ergani,38.2653,39.7621,6.4,100,100,1.15,TR,1643979881
20,sao joao da barra,20.5113,76.2129,20.34,17,0,2.67,IN,1643979881
21,thompson,55.7435,-97.8558,-35.4,97,6,2.25,CA,1643979881
22,mataura,-46.1927,168.8643,9.15,99,100,0.65,NZ,1643979882
23,grindavik,63.8424,-22.4338,-0.74,74,75,4.63,IS,1643979882
24,sajalices,8.6834,-79.8707,27.46,68,22,3.37,PA,1643979882
25,itapetininga,-23.5917,-48.0531,23.56,83,100,4.87,BR,1643979883
26,jati,24.3539,68.2671,24.08,35,0,6.64,PK,1643979883
27,sistranda,63.7256,8.834,2.72,73,71,6.99,NO,1643979883
28,zilair,52.2332,57.4392,-5.82,86,100,4.48,RU,1643979883
29,lata,40.1629,-8.3327,16.07,58,99,2.52,PT,1643979884
30,carnarvon,-24.8667,113.6333,28.24,65,8,7.24,AU,1643979697
31,salalah,17.0151,54.0924,26.05,65,0,3.6,OM,1643979885
32,souillac,-20.5167,57.5167,27.42,75,100,6.8,MU,1643979886
33,san jeronimo,13.3034,-4.8956,32.01,7,0,6.04,ML,1643979886
34,port blair,-7.0349,29.7638,23.63,79,100,3.02,CD,1643979878
35,alofi,-19.0595,-169.9187,25.41,83,100,7.89,NU,1643979886
36,kenai,60.5544,-151.2583,-6.97,100,100,1.54,US,1643979887
37,longyearbyen,78.2186,15.6401,-9.09,79,75,2.06,SJ,1643979887
38,punta arenas,8.9897,125.34,23.08,91,100,2.74,PH,1643979888
39,vaini,-21.2,-175.2,24.09,100,100,8.23,TO,1643979888
40,krasnoselkup,65.7,82.4667,-8.76,95,100,3.95,RU,1643979888
41,jalu,29.0331,21.5482,16.26,37,5,8.06,LY,1643979888
42,inhambane,-23.865,35.3833,29.97,59,20,7.77,MZ,1643979889
43,bethel,41.3712,-73.414,9.45,91,100,0.89,US,1643979889
44,busselton,-33.65,115.3333,22.07,64,0,3.39,AU,1643979414
45,cherskiy,68.75,161.3,-36.65,99,6,1.4,RU,1643979890
46,port-cartier,50.0334,-66.8654,-19.03,86,100,3.17,CA,1643979890
47,yellowknife,62.456,-114.3525,-38.1,87,100,1.79,CA,1643979890
48,nalut,30.3333,10.85,18.51,15,8,3.23,LY,1643979890
49,beruwala,6.4788,79.9828,25.51,66,40,2.67,LK,1643979891
50,provideniya,64.3833,-173.3,-17.55,64,6,8.48,RU,1643979891
51,pingliang,35.5392,106.6861,-10.63,81,12,2.34,CN,1643979892
52,taga,46.95,24.05,4.27,83,99,1.09,RO,1643979892
53,kautokeino,69.0125,23.0412,-13.03,94,100,10.12,NO,1643979892
54,albany,42.6001,-73.9662,-2.46,88,100,1.34,US,1643979892
55,kanchanaburi,14.6333,99.1,24.56,76,42,1.17,TH,1643979893
56,avarua,-21.2078,-159.775,26.03,83,40,3.09,CK,1643979893
57,bandarbeyla,9.4942,50.8122,25.91,53,5,5.77,SO,1643979893
58,clyde river,41.3042,-82.9752,-6.82,88,100,4.9,US,1643979893
59,talavera de la reina,15.6167,120.9333,23.74,79,17,2.81,PH,1643979894
60,tromso,69.6496,18.957,-3.99,63,75,10.8,NO,1643979894
61,oussouye,12.485,-16.5469,34.64,11,0,2.82,SN,1643979894
62,gordeyevka,52.9569,31.9703,-5.96,91,100,3.1,RU,1643979894
63,bredasdorp,-34.5322,20.0403,23.49,40,53,6.71,ZA,1643979895
64,yining,29.0361,114.5636,4.25,83,8,0.81,CN,1643979895
65,rock sound,42.6667,-89.0668,-14.53,80,20,0.0,US,1643979895
66,jiwani,25.05,61.7417,23.07,46,1,5.84,PK,1643979895
67,korla,41.7597,86.1469,-1.96,41,100,2.63,CN,1643979896
68,aleksandrov gay,56.4,38.71,-6.97,95,58,1.89,RU,1643979896
69,lorengau,-2.0226,147.2712,27.12,74,74,3.03,PG,1643979896
70,waipawa,-41.4122,175.5153,19.14,78,100,1.15,NZ,1643979896
71,vrangel,42.7297,133.0839,-10.33,58,72,7.13,RU,1643979897
72,uarini,-2.99,-65.1083,26.97,97,100,0.67,BR,1643979897
73,cape town,-36.413,-71.9028,17.68,70,58,2.11,CL,1643979897
74,victoria,22.2855,114.1577,15.21,71,9,0.45,HK,1643979610
75,mazyr,52.0495,29.2456,-6.34,91,12,0.37,BY,1643979898
76,oranjemund,-28.55,16.4333,21.56,63,4,11.36,NA,1643979898
77,new norfolk,6.6518,-10.5932,32.57,29,0,0.89,LR,1643979899
78,ancud,-41.8697,-73.8203,14.68,88,93,1.49,CL,1643979899
